rank,image_url,current_filename,suggested_filename,pages_count,pages_sample,scope,decorative,best_current_alt,suggested_alt,priority_reasons,recommended_action
11,https://cdn.shopify.com/s/files/1/0408/3481/files/logo-women-owned.png,logo-women-owned.png,brush-on-block-women-owned.png,314,https://brushonblock.com/; https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/117644612-true-or-false-mythbusting-skincare-home-remedies,homepage,no,Women Owned,Women Owned,"homepage, sitewide component",Optional: re-upload with SEO filename; update content references.
12,https://brushonblock.com/cdn/shop/files/BOB_KIDS_essentials.jpg,BOB_KIDS_essentials.jpg,brush-on-block-bob-kids-spf-essentials-kit.jpg,9,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/kids,homepage,no,BOB KIDS SPF Essentials Kit,BOB KIDS SPF Essentials Kit,"homepage, reused multiple pages, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
13,https://brushonblock.com/cdn/shop/files/Kids_Essentials_secondary_2.jpg,Kids_Essentials_secondary_2.jpg,brush-on-block-bob-kids-sunscreen-essentials-kit.jpg,9,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/kids,homepage,no,BOB KIDS Sunscreen Essentials Kit,BOB KIDS Sunscreen Essentials Kit,"homepage, reused multiple pages, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
14,https://brushonblock.com/cdn/shop/files/KIDS-spf30_min_pwdr_model1.jpg,KIDS-spf30_min_pwdr_model1.jpg,brush-on-block-bob-kids-spf-30-brush---mom-and-child.jpg,8,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/best-sellers,homepage,no,BOB KIDS SPF 30 Brush - Mom and Child,BOB KIDS SPF 30 Brush - Mom and Child,"homepage, reused multiple pages, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
15,https://brushonblock.com/cdn/shop/files/Sunscreen_Essentials_Kit.jpg,Sunscreen_Essentials_Kit.jpg,brush-on-block-spf-essentials-kit.jpg,8,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/kits,homepage,no,SPF Essentials Kit,SPF Essentials Kit,"homepage, reused multiple pages, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
16,https://brushonblock.com/cdn/shop/files/SG_SPF-50_prod1.jpg,SG_SPF-50_prod1.jpg,brush-on-block-sheer-genius-spf-50-mineral-sunscreen-moisture-untinted.jpg,7,https://brushonblock.com/; https://brushonblock.com/blogs/news/2-650-miles-under-the-sun-on-the-pacific-crest-trail; https://brushonblock.com/collections/all,homepage,no,Sheer Genius SPF 50 Mineral Sunscreen + Moisture Untinted,Sheer Genius SPF 50 Mineral Sunscreen + Moisture Untinted,"homepage, reused multiple pages, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
17,https://brushonblock.com/cdn/shop/files/KIDS-spf30_balm_prod1.jpg,KIDS-spf30_balm_prod1.jpg,brush-on-block-bob-kids-spf-40-mineral-sun-balm.jpg,6,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/kids,homepage,no,BOB KIDS SPF 40 Mineral Sun Balm,BOB KIDS SPF 40 Mineral Sun Balm,"homepage, reused multiple pages, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
18,https://brushonblock.com/cdn/shop/files/spf30_min_pwdr_TOT_prod1.jpg,spf30_min_pwdr_TOT_prod1.jpg,brush-on-block-spf-30-touch-of-tan-mineral-powder-sunscreen.jpg,6,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/sale,homepage,no,Brush On Block SPF 30 Touch of Tan Mineral Powder Sunscreen,Brush On Block SPF 30 Touch of Tan Mineral Powder Sunscreen,"homepage, reused multiple pages, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
19,https://brushonblock.com/cdn/shop/files/SG_SPF-50_UT_model1.jpg,SG_SPF-50_UT_model1.jpg,brush-on-block-sheer-genius-spf-50-mineral-sunscreen-moisture---universal.jpg,5,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/best-sellers,homepage,no,Sheer Genius SPF 50 Mineral Sunscreen + Moisture - Universal Tint Model,Sheer Genius SPF 50 Mineral Sunscreen + Moisture - Universal Tint Model,"homepage, reused multiple pages, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
20,https://brushonblock.com/cdn/shop/files/SG_SPF-50_UT_prod1.jpg,SG_SPF-50_UT_prod1.jpg,brush-on-block-sheer-genius-spf-50-mineral-sunscreen-moisture-tinted.jpg,5,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/best-sellers,homepage,no,Sheer Genius SPF 50 Mineral Sunscreen + Moisture Tinted,Sheer Genius SPF 50 Mineral Sunscreen + Moisture Tinted,"homepage, reused multiple pages, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
21,https://brushonblock.com/cdn/shop/files/SG_SPF-50_model1.jpg,SG_SPF-50_model1.jpg,brush-on-block-sheer-genius-spf-50---model-1.jpg,5,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/best-sellers,homepage,no,Sheer Genius SPF 50 - Model 1,Sheer Genius SPF 50 - Model 1,"homepage, reused multiple pages, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
22,https://brushonblock.com/cdn/shop/files/spf30_min_pwdr_TOT_model1.jpg,spf30_min_pwdr_TOT_model1.jpg,brush-on-block-spf-30-touch-of-tan---model.jpg,5,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/sale,homepage,no,Brush On Block SPF 30 Touch of Tan - Model,Brush On Block SPF 30 Touch of Tan - Model,"homepage, reused multiple pages, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
23,https://brushonblock.com/cdn/shop/files/Bounce-Butter_model1.jpg,Bounce-Butter_model1.jpg,brush-on-block-bounce-butter-spf-30-model.jpg,4,https://brushonblock.com/; https://brushonblock.com/collections/best-sellers; https://brushonblock.com/collections/lotions-moisturizers,homepage,no,Bounce Butter SPF 30 Model,Bounce Butter SPF 30 Model,"homepage, reused multiple pages, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
24,https://brushonblock.com/cdn/shop/files/Bounce-Butter_prod1.jpg,Bounce-Butter_prod1.jpg,brush-on-block-bounce-butter-spf-30-mineral-sunscreen-moisturizing-body-mousse.jpg,4,https://brushonblock.com/; https://brushonblock.com/collections/best-sellers; https://brushonblock.com/collections/lotions-moisturizers,homepage,no,Bounce Butter SPF 30 Mineral Sunscreen Moisturizing Body Mousse,Bounce Butter SPF 30 Mineral Sunscreen Moisturizing Body Mousse,"homepage, reused multiple pages, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
25,https://brushonblock.com/cdn/shop/files/BOBKIDSspray1.jpg,BOBKIDSspray1.jpg,brush-on-block-bob-kids-spf-50-spray-on-lotion-sunscreen.jpg,8,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/kids,homepage,no,BOB KIDS SPF 50 Spray On Lotion Sunscreen,BOB KIDS SPF 50 Spray On Lotion Sunscreen,"homepage, reused multiple pages, uppercase in name",Optional: re-upload with SEO filename; update content references.
26,https://brushonblock.com/cdn/shop/files/essentials_model_1.jpg,essentials_model_1.jpg,brush-on-block-spf-essentials-kit.jpg,8,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/kits,homepage,no,SPF Essentials Kit,SPF Essentials Kit,"homepage, reused multiple pages, underscores in name",Optional: re-upload with SEO filename; update content references.
27,https://brushonblock.com/cdn/shop/files/BOBKIDSspraymodel2.jpg,BOBKIDSspraymodel2.jpg,brush-on-block-bob-kids-spf-50-spray-on-lotion-sunscreen--.jpg,7,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/kids,homepage,no,BOB KIDS SPF 50 Spray On Lotion Sunscreen - Mom and Child,BOB KIDS SPF 50 Spray On Lotion Sunscreen - Mom and Child,"homepage, reused multiple pages, uppercase in name",Optional: re-upload with SEO filename; update content references.
28,https://brushonblock.com/cdn/shop/files/Full-Face-Kit-SPF-30-model-2.jpg,Full-Face-Kit-SPF-30-model-2.jpg,brush-on-block-color-nude-tint.jpg,7,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/kits,homepage,no,#color_nude tint,#color_nude tint,"homepage, reused multiple pages, uppercase in name",Optional: re-upload with SEO filename; update content references.
29,https://brushonblock.com/cdn/shop/files/lip_line_-_peony_4.jpg,lip_line_-_peony_4.jpg,brush-on-block-lip-oil-duo---pop-of-color.jpg,7,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/kits,homepage,no,Lip Oil Duo - Pop of Color,Lip Oil Duo - Pop of Color,"homepage, reused multiple pages, underscores in name",Optional: re-upload with SEO filename; update content references.
30,https://brushonblock.com/cdn/shop/files/new_kids_brush_front.jpg,new_kids_brush_front.jpg,brush-on-block-bob-kids-spf-30-brush-on-mineral-sunscreen.jpg,7,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/best-sellers,homepage,no,BOB KIDS SPF 30 Brush On Mineral Sunscreen,BOB KIDS SPF 30 Brush On Mineral Sunscreen,"homepage, reused multiple pages, underscores in name",Optional: re-upload with SEO filename; update content references.
31,https://brushonblock.com/cdn/shop/files/quick-stick_prod1.jpg,quick-stick_prod1.jpg,brush-on-block-quick-stick-spf-40-mineral-sunscreen.jpg,7,https://brushonblock.com/; https://brushonblock.com/blogs/news/2-650-miles-under-the-sun-on-the-pacific-crest-trail; https://brushonblock.com/collections/all,homepage,no,Quick Stick SPF 40 Mineral Sunscreen,Quick Stick SPF 40 Mineral Sunscreen,"homepage, reused multiple pages, underscores in name",Optional: re-upload with SEO filename; update content references.
32,https://brushonblock.com/cdn/shop/files/spf30_min_pwdr_model1.jpg,spf30_min_pwdr_model1.jpg,brush-on-block-spf-30-translucent---model-1.jpg,7,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/best-sellers,homepage,no,Brush On Block SPF 30 Translucent - Model 1,Brush On Block SPF 30 Translucent - Model 1,"homepage, reused multiple pages, underscores in name",Optional: re-upload with SEO filename; update content references.
33,https://brushonblock.com/cdn/shop/files/spf30_min_pwdr_prod1.jpg,spf30_min_pwdr_prod1.jpg,brush-on-block-spf-30-translucent-mineral-powder-sunscreen-with-a-brush.jpg,7,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/best-sellers,homepage,no,"Brush On Block SPF 30,  translucent mineral powder sunscreen with a brush applicator.","Brush On Block SPF 30,  translucent mineral powder sunscreen with a brush applicator.","homepage, reused multiple pages, underscores in name",Optional: re-upload with SEO filename; update content references.
34,https://brushonblock.com/cdn/shop/files/spf50_min_pwdr_model1.jpg,spf50_min_pwdr_model1.jpg,brush-on-block-spf-50-translucent-mineral-powder-sunscreen---model-1.jpg,7,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/best-sellers,homepage,no,Brush On Block SPF 50 Translucent Mineral Powder Sunscreen - Model 1,Brush On Block SPF 50 Translucent Mineral Powder Sunscreen - Model 1,"homepage, reused multiple pages, underscores in name",Optional: re-upload with SEO filename; update content references.
35,https://brushonblock.com/cdn/shop/files/SOLspray1.jpg,SOLspray1.jpg,brush-on-block-sol-spf-50-spray-on-lotion-sunscreen.jpg,6,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/lotions-moisturizers,homepage,no,SOL SPF 50 Spray On Lotion Sunscreen,SOL SPF 50 Spray On Lotion Sunscreen,"homepage, reused multiple pages, uppercase in name",Optional: re-upload with SEO filename; update content references.
36,https://brushonblock.com/cdn/shop/files/kids_balm_model_1.jpg,kids_balm_model_1.jpg,brush-on-block-bob-kids-spf-40-mineral-sun-balm---mom.jpg,6,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/kids,homepage,no,BOB KIDS SPF 40 Mineral Sun Balm - Mom and Baby,BOB KIDS SPF 40 Mineral Sun Balm - Mom and Baby,"homepage, reused multiple pages, underscores in name",Optional: re-upload with SEO filename; update content references.
37,https://brushonblock.com/cdn/shop/files/quick-stick_model1.jpg,quick-stick_model1.jpg,brush-on-block-quick-stick-spf-40---model.jpg,6,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/best-sellers,homepage,no,Quick Stick SPF 40 - Model,Quick Stick SPF 40 - Model,"homepage, reused multiple pages, underscores in name",Optional: re-upload with SEO filename; update content references.
38,https://brushonblock.com/cdn/shop/files/spf50_min_pwdr_prod1.jpg,spf50_min_pwdr_prod1.jpg,brush-on-block-spf-50-translucent-mineral-powder-sunscreen.jpg,6,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/best-sellers,homepage,no,Brush On Block SPF 50 Translucent Mineral Powder Sunscreen,Brush On Block SPF 50 Translucent Mineral Powder Sunscreen,"homepage, reused multiple pages, underscores in name",Optional: re-upload with SEO filename; update content references.
39,https://brushonblock.com/cdn/shop/files/sg-brush-prod-1_cc1adb28-f9b6-42fd-b9e4-f8ebe12d7769.jpg,sg-brush-prod-1_cc1adb28-f9b6-42fd-b9e4-f8ebe12d7769.jpg,brush-on-block-sheer-genius-brush.jpg,5,https://brushonblock.com/; https://brushonblock.com/collections/accessories-1; https://brushonblock.com/collections/all,homepage,no,Sheer Genius Brush,Sheer Genius Brush,"homepage, reused multiple pages, underscores in name",Optional: re-upload with SEO filename; update content references.
40,https://brushonblock.com/cdn/shop/files/lip-pencil_model1_a913bed6-20a7-4313-a763-715bbed07098.jpg,lip-pencil_model1_a913bed6-20a7-4313-a763-715bbed07098.jpg,brush-on-block-perfect-pencil-lip-liner---model.jpg,4,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/lip-oils,homepage,no,Perfect Pencil Lip Liner - Model,Perfect Pencil Lip Liner - Model,"homepage, reused multiple pages, underscores in name",Optional: re-upload with SEO filename; update content references.
41,https://brushonblock.com/cdn/shop/files/lip-pencil_prod1.jpg,lip-pencil_prod1.jpg,brush-on-block-perfect-pencil-lip-liner.jpg,4,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/lip-oils,homepage,no,Perfect Pencil Lip Liner,Perfect Pencil Lip Liner,"homepage, reused multiple pages, underscores in name",Optional: re-upload with SEO filename; update content references.
42,https://brushonblock.com/cdn/shop/files/image_5.jpg,image_5.jpg,brush-on-block---mineral-powder-sunscreen-natural-skincare.jpg,1,https://brushonblock.com/,homepage,yes,,,"homepage, underscores in name, generic filename","Ensure alt="""" (decorative). No rename needed."
43,https://brushonblock.com/cdn/shop/files/TOT_refill_DT.jpg,TOT_refill_DT.jpg,brush-on-block---mineral-powder-sunscreen-natural-skincare.jpg,1,https://brushonblock.com/,homepage,yes,,,"homepage, uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
44,https://brushonblock.com/cdn/shop/files/TOT_refill_mobile.jpg,TOT_refill_mobile.jpg,brush-on-block---mineral-powder-sunscreen-natural-skincare.jpg,1,https://brushonblock.com/,homepage,yes,,,"homepage, uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
45,https://brushonblock.com/cdn/shop/files/spray_DT.jpg,spray_DT.jpg,brush-on-block---mineral-powder-sunscreen-natural-skincare.jpg,1,https://brushonblock.com/,homepage,yes,,,"homepage, uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
46,https://brushonblock.com/cdn/shop/files/full-face-kit-prod-1-nude.jpg,full-face-kit-prod-1-nude.jpg,brush-on-block-color-nude-tint.jpg,7,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/kits,homepage,no,#color_nude tint,#color_nude tint,"homepage, reused multiple pages",Optional: re-upload with SEO filename; update content references.
47,https://brushonblock.com/cdn/shop/files/lip-line-peony.jpg,lip-line-peony.jpg,brush-on-block-color-peony.jpg,7,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/best-sellers,homepage,no,#color_peony,#color_peony,"homepage, reused multiple pages",Optional: re-upload with SEO filename; update content references.
48,https://brushonblock.com/cdn/shop/files/lip-oil-peony-prod-1.jpg,lip-oil-peony-prod-1.jpg,brush-on-block-color-peony.jpg,7,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/best-sellers,homepage,no,#color_peony,#color_peony,"homepage, reused multiple pages",Optional: re-upload with SEO filename; update content references.
49,https://brushonblock.com/cdn/shop/files/lipoilduo-popofcolor.jpg,lipoilduo-popofcolor.jpg,brush-on-block-sun-shine-spf-30-protective-lip-oil-duo.jpg,7,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/kits,homepage,no,Sun Shine SPF 30 Protective Lip Oil Duo,Sun Shine SPF 30 Protective Lip Oil Duo,"homepage, reused multiple pages",Optional: re-upload with SEO filename; update content references.
50,https://brushonblock.com/cdn/shop/files/spraymodel1.jpg,spraymodel1.jpg,brush-on-block-sol-spf-50-spray-on-lotion-sunscreen---lifestyle.jpg,7,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/lotions-moisturizers,homepage,no,SOL SPF 50 Spray On Lotion Sunscreen - Lifestyle 1,SOL SPF 50 Spray On Lotion Sunscreen - Lifestyle 1,"homepage, reused multiple pages",Optional: re-upload with SEO filename; update content references.
51,https://brushonblock.com/cdn/shop/files/sg-brush-model.jpg,sg-brush-model.jpg,brush-on-block-sheer-genius-brush---model.jpg,5,https://brushonblock.com/; https://brushonblock.com/collections/accessories-1; https://brushonblock.com/collections/all,homepage,no,Sheer Genius Brush - Model,Sheer Genius Brush - Model,"homepage, reused multiple pages",Optional: re-upload with SEO filename; update content references.
52,https://brushonblock.com/cdn/shop/files/refill_triptych_2.jpg,refill_triptych_2.jpg,brush-on-block-spf-30-mineral-powder-brush-with-refill.jpg,2,https://brushonblock.com/; https://brushonblock.com/products/brush-on-block-refill,homepage,no,Brush On Block SPF 30 Mineral Powder Brush with Refill,Brush On Block SPF 30 Mineral Powder Brush with Refill,"homepage, underscores in name",Optional: re-upload with SEO filename; update content references.
53,https://brushonblock.com/cdn/shop/files/sheer_genius_810b07a6-d89a-42f8-84f0-4f5fdf91153f.png,sheer_genius_810b07a6-d89a-42f8-84f0-4f5fdf91153f.png,brush-on-block---mineral-powder-sunscreen-natural-skincare.png,1,https://brushonblock.com/,homepage,yes,,,"homepage, underscores in name","Ensure alt="""" (decorative). No rename needed."
54,https://brushonblock.com/cdn/shop/files/spray_mobile.jpg,spray_mobile.jpg,brush-on-block---mineral-powder-sunscreen-natural-skincare.jpg,1,https://brushonblock.com/,homepage,yes,,,"homepage, underscores in name","Ensure alt="""" (decorative). No rename needed."
55,https://brushonblock.com/cdn/shop/files/category-kids-2.jpg,category-kids-2.jpg,brush-on-block---mineral-powder-sunscreen-natural-skincare.jpg,1,https://brushonblock.com/,homepage,yes,,,homepage,"Ensure alt="""" (decorative). No rename needed."
56,https://brushonblock.com/cdn/shop/files/category-powders.jpg,category-powders.jpg,brush-on-block---mineral-powder-sunscreen-natural-skincare.jpg,1,https://brushonblock.com/,homepage,yes,,,homepage,"Ensure alt="""" (decorative). No rename needed."
57,https://brushonblock.com/cdn/shop/files/logo-allure.png,logo-allure.png,brush-on-block---mineral-powder-sunscreen-natural-skincare.png,1,https://brushonblock.com/,homepage,yes,,,homepage,"Ensure alt="""" (decorative). No rename needed."
58,https://brushonblock.com/cdn/shop/files/logo-glamour.png,logo-glamour.png,brush-on-block---mineral-powder-sunscreen-natural-skincare.png,1,https://brushonblock.com/,homepage,yes,,,homepage,"Ensure alt="""" (decorative). No rename needed."
59,https://brushonblock.com/cdn/shop/files/logo-gq.png,logo-gq.png,brush-on-block---mineral-powder-sunscreen-natural-skincare.png,1,https://brushonblock.com/,homepage,yes,,,homepage,"Ensure alt="""" (decorative). No rename needed."
60,https://brushonblock.com/cdn/shop/files/logo-instyle.png,logo-instyle.png,brush-on-block---mineral-powder-sunscreen-natural-skincare.png,1,https://brushonblock.com/,homepage,yes,,,homepage,"Ensure alt="""" (decorative). No rename needed."
61,https://brushonblock.com/cdn/shop/files/logo-ipsy.png,logo-ipsy.png,brush-on-block---mineral-powder-sunscreen-natural-skincare.png,1,https://brushonblock.com/,homepage,yes,,,homepage,"Ensure alt="""" (decorative). No rename needed."
62,https://brushonblock.com/cdn/shop/files/logo-oprah.png,logo-oprah.png,brush-on-block---mineral-powder-sunscreen-natural-skincare.png,1,https://brushonblock.com/,homepage,yes,,,homepage,"Ensure alt="""" (decorative). No rename needed."
63,https://brushonblock.com/cdn/shop/files/logo-popsugar.png,logo-popsugar.png,brush-on-block---mineral-powder-sunscreen-natural-skincare.png,1,https://brushonblock.com/,homepage,yes,,,homepage,"Ensure alt="""" (decorative). No rename needed."
64,https://brushonblock.com/cdn/shop/files/logo-us.png,logo-us.png,brush-on-block---mineral-powder-sunscreen-natural-skincare.png,1,https://brushonblock.com/,homepage,yes,,,homepage,"Ensure alt="""" (decorative). No rename needed."
65,https://brushonblock.com/cdn/shop/files/lotions-homepage.jpg,lotions-homepage.jpg,brush-on-block-lotions.jpg,1,https://brushonblock.com/,homepage,no,Brush On Block Lotions,Brush On Block Lotions,homepage,Optional: re-upload with SEO filename; update content references.
66,https://brushonblock.com/cdn/shop/files/peony-mobile.jpg,peony-mobile.jpg,brush-on-block---mineral-powder-sunscreen-natural-skincare.jpg,1,https://brushonblock.com/,homepage,yes,,,homepage,"Ensure alt="""" (decorative). No rename needed."
67,https://brushonblock.com/cdn/shop/files/peony.jpg,peony.jpg,brush-on-block---mineral-powder-sunscreen-natural-skincare.jpg,1,https://brushonblock.com/,homepage,yes,,,homepage,"Ensure alt="""" (decorative). No rename needed."
68,https://brushonblock.com/cdn/shop/files/smiles-for-miles.jpg,smiles-for-miles.jpg,brush-on-block---mineral-powder-sunscreen-natural-skincare.jpg,1,https://brushonblock.com/,homepage,yes,,,homepage,"Ensure alt="""" (decorative). No rename needed."
69,https://brushonblock.com/cdn/shop/files/Zinc_Oxide.jpg,Zinc_Oxide.jpg,brush-on-block-spf-30-touch-of-tan-mineral-powder-sunscreen.jpg,17,https://brushonblock.com/products/bob-kids-spf-30; https://brushonblock.com/products/bob-kids-spf-50-spray-on-lotion-sunscreen; https://brushonblock.com/products/bob-kids-sun-balm-spf-40-broad-spectrum-sunscreen,product,yes,,,"reused many pages, uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
